threshold,precision,recall,total_contacts,true_positives,false_positives,revenue,cost,roi,roi_pct
0.05,0.34731774415405775,0.9546313799621928,2908,1010,1898,101000.0,2908.0,98092.0,3373.177441540578
0.06836734693877551,0.3719193427931292,0.941398865784499,2678,996,1682,99600.0,2678.0,96922.0,3619.193427931292
0.08673469387755102,0.3826630222569309,0.9262759924385633,2561,980,1581,98000.0,2561.0,95439.0,3726.630222569309
0.10510204081632653,0.39679934345506773,0.9139886578449905,2437,967,1470,96700.0,2437.0,94263.0,3867.993434550677
0.12346938775510204,0.40954018048990115,0.9007561436672968,2327,953,1374,95300.0,2327.0,92973.0,3995.4018048990115
0.14183673469387753,0.4193258426966292,0.8818525519848771,2225,933,1292,93300.0,2225.0,91075.0,4093.2584269662916
0.16020408163265304,0.43994280266920877,0.8724007561436673,2098,923,1175,92300.0,2098.0,90202.0,4299.428026692088
0.17857142857142855,0.45648854961832064,0.8478260869565217,1965,897,1068,89700.0,1965.0,87735.0,4464.885496183206
0.19693877551020406,0.47136797454931073,0.8402646502835539,1886,889,997,88900.0,1886.0,87014.0,4613.6797454931075
0.21530612244897956,0.48006644518272423,0.8194706994328923,1806,867,939,86700.0,1806.0,84894.0,4700.664451827242
0.23367346938775507,0.49533799533799533,0.8034026465028355,1716,850,866,85000.0,1716.0,83284.0,4853.379953379953
0.2520408163265306,0.5097442143727162,0.7911153119092628,1642,837,805,83700.0,1642.0,82058.0,4997.442143727162
0.2704081632653061,0.5219605346912795,0.775047258979206,1571,820,751,82000.0,1571.0,80429.0,5119.605346912795
0.2887755102040816,0.5318032786885246,0.7665406427221172,1525,811,714,81100.0,1525.0,79575.0,5218.0327868852455
0.3071428571428571,0.5421768707482993,0.7533081285444234,1470,797,673,79700.0,1470.0,78230.0,5321.768707482993
0.3255102040816326,0.5503496503496503,0.7438563327032136,1430,787,643,78700.0,1430.0,77270.0,5403.4965034965035
0.3438775510204081,0.5526695526695526,0.724007561436673,1386,766,620,76600.0,1386.0,75214.0,5426.6955266955265
0.36224489795918363,0.5581749049429657,0.6937618147448015,1315,734,581,73400.0,1315.0,72085.0,5481.749049429658
0.38061224489795914,0.5670588235294117,0.6833648393194707,1275,723,552,72300.0,1275.0,71025.0,5570.588235294117
0.39897959183673465,0.5824357912178956,0.6644612476370511,1207,703,504,70300.0,1207.0,69093.0,5724.357912178956
0.41734693877551016,0.6,0.6323251417769377,1115,669,446,66900.0,1115.0,65785.0,5900.0
0.43571428571428567,0.6077504725897921,0.6077504725897921,1058,643,415,64300.0,1058.0,63242.0,5977.50472589792
0.4540816326530612,0.6218144750254841,0.5765595463137996,981,610,371,61000.0,981.0,60019.0,6118.144750254843
0.4724489795918367,0.6428571428571429,0.5359168241965974,882,567,315,56700.0,882.0,55818.0,6328.571428571428
0.4908163265306122,0.6557971014492754,0.5132325141776938,828,543,285,54300.0,828.0,53472.0,6457.971014492753
0.5091836734693878,0.6594110115236875,0.4867674858223062,781,515,266,51500.0,781.0,50719.0,6494.110115236876
0.5275510204081633,0.6717241379310345,0.4603024574669187,725,487,238,48700.0,725.0,47975.0,6617.241379310344
0.5459183673469388,0.6824427480916031,0.4224952741020794,655,447,208,44700.0,655.0,44045.0,6724.427480916031
0.5642857142857143,0.6928213689482471,0.39224952741020797,599,415,184,41500.0,599.0,40901.0,6828.213689482471
0.5826530612244898,0.710820895522388,0.3601134215500945,536,381,155,38100.0,536.0,37564.0,7008.208955223881
0.6010204081632653,0.709278350515464,0.32514177693761814,485,344,141,34400.0,485.0,33915.0,6992.78350515464
0.6193877551020408,0.7139479905437353,0.28544423440453687,423,302,121,30200.0,423.0,29777.0,7039.4799054373525
0.6377551020408163,0.7325227963525835,0.2277882797731569,329,241,88,24100.0,329.0,23771.0,7225.2279635258365
0.6561224489795918,0.7465277777777778,0.20321361058601134,288,215,73,21500.0,288.0,21212.0,7365.277777777777
0.6744897959183673,0.7615062761506276,0.1720226843100189,239,182,57,18200.0,239.0,17961.0,7515.062761506276
0.6928571428571428,0.7625570776255708,0.15784499054820417,219,167,52,16700.0,219.0,16481.0,7525.570776255708
0.7112244897959183,0.7575757575757576,0.14177693761814744,198,150,48,15000.0,198.0,14802.0,7475.757575757575
0.7295918367346939,0.7670454545454546,0.1275992438563327,176,135,41,13500.0,176.0,13324.0,7570.454545454545
0.7479591836734694,0.782051282051282,0.11531190926275993,156,122,34,12200.0,156.0,12044.0,7720.51282051282
0.7663265306122449,0.7931034482758621,0.10869565217391304,145,115,30,11500.0,145.0,11355.0,7831.0344827586205
0.7846938775510204,0.8020833333333334,0.07277882797731569,96,77,19,7700.0,96.0,7604.0,7920.833333333333
0.8030612244897959,0.8305084745762712,0.046313799621928164,59,49,10,4900.0,59.0,4841.0,8205.084745762711
0.8214285714285714,0.8333333333333334,0.01890359168241966,24,20,4,2000.0,24.0,1976.0,8233.333333333332
0.8397959183673469,0.6923076923076923,0.008506616257088847,13,9,4,900.0,13.0,887.0,6823.076923076923
0.8581632653061224,0.6666666666666666,0.005671077504725898,9,6,3,600.0,9.0,591.0,6566.666666666667
0.8765306122448979,0.625,0.004725897920604915,8,5,3,500.0,8.0,492.0,6150.0
0.8948979591836734,0.6666666666666666,0.003780718336483932,6,4,2,400.0,6.0,394.0,6566.666666666667
0.9132653061224489,0.6,0.002835538752362949,5,3,2,300.0,5.0,295.0,5900.0
0.9316326530612244,0.75,0.002835538752362949,4,3,1,300.0,4.0,296.0,7400.0
0.95,0.75,0.002835538752362949,4,3,1,300.0,4.0,296.0,7400.0
